"Título do Desenho: Termohigrógrafo_coleta_MALG"
"#","Data Hora, GMT-03:00","Temp., °C (LGR S/N: 20455588, SEN S/N: 20455588)","HR, % (LGR S/N: 20455588, SEN S/N: 20455588)","Anfitrião Ligado (LGR S/N: 20455588)","Fim Do Ficheiro (LGR S/N: 20455588)"
297,07/14/20 08h43min39s,12.657,71.816,,
298,07/14/20 09h43min39s,12.609,72.528,,
299,07/14/20 10h43min39s,12.585,73.165,,
300,07/14/20 11h43min39s,12.512,73.565,,
301,07/15/20 12h43min39s,12.464,73.611,,
302,07/15/20 01h43min39s,12.391,73.542,,
303,07/15/20 02h43min39s,12.295,73.476,,
304,07/15/20 03h43min39s,12.222,73.965,,
305,07/15/20 04h43min39s,12.125,74.142,,
306,07/15/20 05h43min39s,12.053,74.110,,
307,07/15/20 06h43min39s,11.931,73.722,,
308,07/15/20 07h43min39s,11.883,74.173,,
309,07/15/20 08h43min39s,11.883,74.423,,
310,07/15/20 09h43min39s,11.883,74.465,,
311,07/15/20 10h43min39s,11.859,74.259,,
312,07/15/20 11h43min39s,11.859,73.932,,
313,07/15/20 12h43min39s,11.956,73.483,,
314,07/15/20 01h43min39s,12.149,72.924,,
315,07/15/20 02h43min39s,12.343,72.786,,
316,07/15/20 03h43min39s,12.512,72.836,,
317,07/15/20 04h43min39s,12.609,72.934,,
318,07/15/20 05h43min39s,12.560,73.362,,
319,07/15/20 06h43min39s,12.536,73.842,,
320,07/15/20 07h43min39s,12.464,74.139,,
321,07/15/20 08h43min39s,12.391,74.316,,
322,07/15/20 09h43min39s,12.367,74.532,,
323,07/15/20 10h43min39s,12.319,74.624,,
324,07/15/20 11h43min39s,12.246,74.251,,
325,07/16/20 12h43min39s,12.222,74.679,,
326,07/16/20 01h43min39s,12.174,74.642,,
327,07/16/20 02h43min39s,12.101,74.186,,
328,07/16/20 03h43min39s,12.053,74.614,,
329,07/16/20 04h43min39s,12.053,74.831,,
330,07/16/20 05h43min39s,12.004,75.058,,
331,07/16/20 06h43min39s,11.931,74.672,,
332,07/16/20 07h43min39s,11.810,73.699,,
333,07/16/20 08h43min39s,11.786,73.087,,
334,07/16/20 09h43min39s,11.834,73.156,,
335,07/16/20 10h43min39s,11.883,73.416,,
336,07/16/20 11h43min39s,11.956,73.799,,
337,07/16/20 12h43min39s,12.028,74.072,,
338,07/16/20 01h43min39s,12.077,74.314,,
339,07/16/20 02h43min39s,12.174,74.599,,
340,07/16/20 03h43min39s,12.246,75.029,,
341,07/16/20 04h43min39s,12.319,75.337,,
342,07/16/20 05h43min39s,12.319,75.664,,
343,07/16/20 06h43min39s,12.319,75.664,,
344,07/16/20 07h43min39s,12.319,75.616,,
345,07/16/20 08h43min39s,12.295,75.714,,
346,07/16/20 09h43min39s,12.270,76.054,,
347,07/16/20 10h43min39s,12.270,76.351,,
348,07/16/20 11h43min39s,12.246,76.556,,
349,07/17/20 12h43min39s,12.222,76.661,,
350,07/17/20 01h43min39s,12.222,76.868,,
351,07/17/20 02h43min39s,12.222,76.974,,
352,07/17/20 03h43min39s,12.198,76.663,,
353,07/17/20 04h43min39s,12.198,76.308,,
354,07/17/20 05h43min39s,12.174,76.016,,
355,07/17/20 06h43min39s,12.174,75.919,,
356,07/17/20 07h43min39s,12.198,75.964,,
357,07/17/20 08h43min39s,12.270,76.301,,
358,07/17/20 09h43min39s,12.391,76.643,,
359,07/17/20 10h43min39s,12.488,77.324,,
360,07/17/20 11h43min39s,12.633,78.165,,
361,07/17/20 12h43min39s,12.778,78.822,,
362,07/17/20 01h43min39s,12.898,79.525,,
363,07/17/20 02h43min39s,13.019,80.135,,
364,07/17/20 03h43min39s,13.139,80.559,,
365,07/17/20 04h43min39s,13.236,80.926,,
366,07/17/20 05h43min39s,13.332,81.229,,
367,07/17/20 06h43min39s,13.356,81.149,,
368,07/17/20 07h43min39s,13.356,81.072,,
369,07/17/20 08h43min39s,13.380,80.918,,
370,07/17/20 09h43min39s,13.356,80.768,,
371,07/17/20 10h43min39s,13.380,80.767,,
372,07/17/20 11h43min39s,13.380,80.692,,
373,07/18/20 12h43min39s,13.380,80.618,,
374,07/18/20 01h43min39s,13.380,80.544,,
375,07/18/20 02h43min39s,13.404,80.469,,
376,07/18/20 03h43min39s,13.380,80.253,,
377,07/18/20 04h43min39s,13.404,80.109,,
378,07/18/20 05h43min39s,13.404,79.968,,
379,07/18/20 06h43min39s,13.404,79.691,,
380,07/18/20 07h43min39s,13.428,79.553,,
381,07/18/20 08h43min39s,13.548,80.314,,
382,07/18/20 09h43min39s,13.717,81.207,,
383,07/18/20 10h43min39s,13.909,82.437,,
384,07/18/20 11h43min39s,14.148,83.821,,
385,07/18/20 12h43min39s,14.556,86.101,,
386,07/18/20 01h43min39s,15.154,87.790,,
387,07/18/20 02h43min39s,15.727,88.673,,
388,07/18/20 03h43min39s,16.251,88.837,,
389,07/18/20 04h43min39s,16.490,88.842,,
390,07/18/20 05h43min39s,16.442,88.535,,
391,07/18/20 06h43min39s,16.275,88.383,,
392,07/18/20 07h43min39s,16.204,88.381,,
393,07/18/20 08h43min39s,16.180,87.801,,
394,07/18/20 09h43min39s,16.156,87.660,,
395,07/18/20 10h43min39s,16.132,86.464,,
396,07/18/20 11h43min39s,16.132,86.464,,
397,07/19/20 12h43min39s,16.132,86.339,,
398,07/19/20 01h43min39s,16.132,86.214,,
399,07/19/20 02h43min39s,16.180,87.248,,
400,07/19/20 03h43min39s,16.204,88.088,,
401,07/19/20 04h43min39s,16.204,87.944,,
402,07/19/20 05h43min39s,16.251,87.944,,
403,07/19/20 06h43min39s,16.275,87.945,,
404,07/19/20 07h43min39s,16.299,87.662,,
405,07/19/20 08h43min39s,16.347,87.385,,
406,07/19/20 09h43min39s,16.442,87.250,,
407,07/19/20 10h43min39s,16.585,87.387,,
408,07/19/20 11h43min39s,16.728,87.388,,
409,07/19/20 12h43min39s,16.918,87.809,,
410,07/19/20 01h43min39s,17.252,87.254,,
411,07/19/20 02h43min39s,17.632,87.394,,
412,07/19/20 03h43min39s,17.918,87.820,,
413,07/19/20 04h43min39s,18.060,88.261,,
414,07/19/20 05h43min39s,18.060,88.261,,
415,07/19/20 06h43min39s,18.037,88.112,,
416,07/19/20 07h43min39s,18.037,87.966,,
417,07/19/20 08h43min39s,18.037,87.966,,
418,07/19/20 09h43min39s,18.060,88.411,,
419,07/19/20 10h43min39s,18.037,88.873,,
420,07/19/20 11h43min39s,18.013,88.563,,
421,07/20/20 12h43min39s,17.989,88.260,,
422,07/20/20 01h43min39s,17.989,87.820,,
423,07/20/20 02h43min39s,17.965,87.536,,
424,07/20/20 03h43min39s,17.941,87.258,,
425,07/20/20 04h43min39s,17.941,86.986,,
426,07/20/20 05h43min39s,17.918,86.720,,
427,07/20/20 06h43min39s,17.918,86.332,,
428,07/20/20 07h43min39s,17.870,85.713,,
429,07/20/20 08h43min39s,17.941,85.472,,
430,07/20/20 09h43min39s,18.060,85.120,,
431,07/20/20 10h43min39s,18.155,85.119,,
432,07/20/20 11h43min39s,18.251,85.117,,
433,07/20/20 12h43min39s,18.370,84.661,,
434,07/20/20 01h43min39s,18.488,83.490,,
435,07/20/20 02h43min39s,18.821,83.685,,
436,07/20/20 03h43min39s,19.083,83.370,,
437,07/20/20 04h43min39s,19.178,83.468,,
438,07/20/20 05h43min39s,19.202,84.204,,
439,07/20/20 06h43min39s,19.226,84.986,,
440,07/20/20 07h43min39s,19.250,85.219,,
441,07/20/20 08h43min39s,19.226,85.700,,
442,07/20/20 09h43min39s,19.226,85.700,,
443,07/20/20 10h43min39s,19.178,85.458,,
444,07/20/20 11h43min39s,19.154,85.220,,
445,07/21/20 12h43min39s,19.131,85.104,,
446,07/21/20 01h43min39s,19.107,84.988,,
447,07/21/20 02h43min39s,19.083,84.874,,
448,07/21/20 03h43min39s,19.059,84.760,,
449,07/21/20 04h43min39s,19.059,84.648,,
450,07/21/20 05h43min39s,19.035,84.537,,
451,07/21/20 06h43min39s,19.012,84.317,,
452,07/21/20 07h43min39s,18.940,84.210,,
453,07/21/20 08h43min39s,18.940,83.996,,
454,07/21/20 09h43min39s,19.012,83.783,,
455,07/21/20 10h43min39s,19.035,83.782,,
456,07/21/20 11h43min39s,19.131,83.780,,
457,07/21/20 12h43min39s,19.297,84.093,,
458,07/21/20 01h43min39s,19.464,84.528,,
459,07/21/20 02h43min39s,19.392,83.564,,
460,07/21/20 03h43min39s,19.368,82.387,,
461,07/21/20 04h43min39s,19.844,86.720,,
462,07/21/20 05h43min39s,19.773,86.720,,
463,07/21/20 06h43min39s,19.892,85.817,,
464,07/21/20 07h43min39s,19.916,85.693,,
465,07/21/20 08h43min39s,19.916,85.449,,
466,07/21/20 09h43min39s,19.916,85.329,,
467,07/21/20 10h43min39s,19.916,85.092,,
468,07/21/20 11h43min39s,19.892,84.975,,
469,07/22/20 12h43min39s,19.844,84.520,,
470,07/22/20 01h43min39s,19.797,84.081,,
471,07/22/20 02h43min39s,19.773,83.867,,
472,07/22/20 03h43min39s,19.749,83.868,,
473,07/22/20 04h43min39s,19.702,83.764,,
474,07/22/20 05h43min39s,19.654,83.765,,
475,07/22/20 06h43min39s,19.630,83.661,,
476,07/22/20 07h43min39s,19.535,83.154,,
477,07/22/20 08h43min39s,19.487,83.459,,
478,07/22/20 09h43min39s,19.511,83.356,,
479,07/22/20 10h43min39s,19.559,83.153,,
480,07/22/20 11h43min39s,19.630,82.952,,
481,07/22/20 12h43min39s,19.702,83.049,,
482,07/22/20 01h43min39s,19.392,79.856,,
483,07/22/20 02h43min39s,19.654,81.470,,
484,07/22/20 03h43min39s,19.559,80.312,,
485,07/22/20 04h43min39s,19.678,80.790,,
486,07/22/20 05h43min39s,20.106,86.195,,
487,07/22/20 06h43min39s,20.011,83.340,,
488,07/22/20 07h43min39s,20.154,83.857,,
489,07/22/20 08h43min39s,20.154,83.857,,
490,07/22/20 09h43min39s,20.178,83.750,,
491,07/22/20 10h43min39s,20.178,83.750,,
492,07/22/20 11h43min39s,20.154,83.751,,
493,07/23/20 12h43min39s,20.106,83.647,,
494,07/23/20 01h43min39s,20.082,83.440,,
495,07/23/20 02h43min39s,20.035,83.238,,
496,07/23/20 03h43min39s,19.987,83.341,,
497,07/23/20 04h43min39s,19.940,83.241,,
498,07/23/20 05h43min39s,19.892,82.943,,
499,07/23/20 06h43min39s,19.844,82.749,,
500,07/23/20 07h43min39s,19.702,84.192,,
501,07/23/20 08h43min39s,19.702,83.764,,
502,07/23/20 09h43min39s,19.702,83.659,,
503,07/23/20 10h43min39s,19.702,83.555,,
504,07/23/20 11h43min39s,19.725,83.248,,
505,07/23/20 12h43min39s,19.416,79.115,,
506,07/23/20 01h43min39s,19.487,80.237,,
507,07/23/20 02h43min39s,19.749,82.371,,
508,07/23/20 03h43min39s,20.011,82.939,,
509,07/23/20 04h43min39s,19.606,77.299,,
510,07/23/20 05h43min39s,19.606,78.402,,
511,07/23/20 06h43min39s,20.130,82.075,,
512,07/23/20 07h43min39s,20.249,82.350,,
513,07/23/20 08h43min39s,20.321,82.538,,
514,07/23/20 09h43min39s,20.344,82.633,,
515,07/23/20 10h43min39s,20.344,82.730,,
516,07/23/20 11h43min39s,20.321,82.634,,
517,07/24/20 12h43min39s,20.297,82.635,,
518,07/24/20 01h43min39s,20.273,82.444,,
519,07/24/20 02h43min39s,20.249,82.070,,
520,07/24/20 03h43min39s,20.225,82.071,,
521,07/24/20 04h43min39s,20.201,82.165,,
